Entidade detentora das participacoes,Tipo,Denominacoes,% Participacao/ interesse economico,Custo de Aquisicao,Ano aquisicao,Capital Social/Moeda,Accoes/Quotas (Total Entidade),N  de Accoes/Quotas detidas,Transaccoes,Emprestimos,Outros,Ano referencia,Entidade,Doc
Acionistas ISA,Outros,Outros,2.1,,,,,35442,,,,2015,ISA,ISA - Capital realizado 2015
F PENSOESSANTANDER,FCR,F TEC,,250950,,,,,,,,2015,F Pensoes Santander,F Pensoes Santander 2015 - Participacoes Fundos
F PENSOESSANTANDER,FCR,FUNDO BEM COMUM,,217000,,,,,,,,2015,F Pensoes Santander,F Pensoes Santander 2015 - Participacoes Fundos
F PENSOESSANTANDER,FCR,PVCI,,1321579,,,,,,,,2015,F Pensoes Santander,F Pensoes Santander 2015 - Participacoes Fundos
SIBS,FCR,F TEC,1,50000,,,,,,,,2015,Outros,Outros detendores F-Hitec 2015
SONAE Capital,FCR,F TEC,6.48,"250,950",,,,,,,,2015,Outros,Outros detendores F-Hitec 2015
Brisa,FCR,F TEC,,97000,,,,,,,,2015,Outros,Outros detendores F-Hitec 2015
Portugal Ventures,FCR,FCR Portugal Ventures Universitas,13.8,,,3720000,,51336000,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR Portugal Ventures ACTEC II,12.43,,,7783386,,96747488,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR Portugal Ventures Early Stages,34.89,,,7166500,,250039185,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR Portugal Ventures Biocant,37.5,,,4000000,,150000000,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR Portugal Global Ventures,7.8,,,203713,,1588958,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR Portugal Ventures Internacionalizacao,41.67,,,14232000,,593047440,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
Portugal Ventures,FCR,FCR Portugal Ventures Industrias Criativas,50,,,6000000,,300000000,,,,2014,Portugal Ventures,Portugal Ventures - Carteira sob Gestao 2015
